	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
0	prerank	Photoreceptor Cells	-0.7971341376883542	-3.379675809363504	0.0	0.0	0.0	91/139	11.48%	Rcvrn;Nr2e3;Grm6;Pdc;Nrl;Sag;Rho;Vsx2;Gnb3;Rd3l;Cacna2d4;Pde6g;Cabp5;Sebox;Sphkap;Rs1;Cplx3;Pcp2;Cntn4;Gpr179;Lin7a;Vwc2l;Syp;Dusp26;Rom1;Actl6b;Grm5;Tmem130;Trnp1;Hcn1;Gng13;Zdhhc22;Cadm2;Atp1b2;Gria2;Crx;Fam135b;Isl1;Qpct;B3galt2;Mmd2;Ppfia2;Ap3b2;Kcnj9;Prkca;Kcnma1;Neurod4;Syt4;Chga;Atcay;Scrt1;Amph;Gabra1;Pcsk2;Ntng1;Lrtm1;Frmd3;Svop;Strip2;Gabrg2;Snap91;Gria1;Stx3;Celf3;Atp2b3;Scg3;Pcbp3;Amer3;Pcdh15;Rgs8;Slitrk1;Tceal6;Gdap1l1;Kcnc1;Vstm2b;Rab3c;Snap25;Unc79;Sv2b;Adgrb3;Cadps;Cacna2d3;Synpr;Vstm2a;Stmn4;Prox1;Hspa12a;Cntn2;Slc1a2;Srrm4;Slc24a2
1	prerank	Pinealocytes	-0.8239509007088017	-3.163316814810871	0.0	0.0	0.0	57/79	11.48%	Rcvrn;Grm6;Rbp3;Sag;Rp1l1;Pde6b;Rho;Kcng4;Gngt1;Cacna1f;Pde6h;Pde6c;Cnga1;Pde6a;Rs1;Cngb1;Cabp4;Rd3;Drd4;Aipl1;Cplx4;Samd7;Rom1;Gngt2;Lrit1;Hcn1;Gng13;Rtbdn;Crx;Adrb1;Vsx1;Disp2;Ap3b2;Atcay;Pmepa1;Tph1;Myt1l;Kcnj14;Neurod1;Unc13c;Svop;Amer3;Tmem145;Kcnb1;Strc;Crb1;Plekhd1;Chrnb4;Sv2b;Aanat;Slc7a14;Chrna3;Rnft2;Slc4a5;Rgr;Srrm4;Slc24a2
2	prerank	Pluripotent Stem Cells	0.7489973416520451	3.038203725335206	0.0	0.0	0.0	74/93	18.75%	Lin28b;Bub1;Cenpf;Ndc80;Sall4;Trim71;Depdc1b;Zscan10;Sox2;Chek1;Mcm10;Sgo1;Kntc1;Hells;Kif11;Orc1;Fbxo5;Fanci;Ticrr;Cdc6;Aunip;Lin28a;Cdca7;Pif1;Plk4;Ccna2;Cenph;Ercc6l;Chek2;Mcm3;Zgrf1;Fancd2;Atad5;Mcm4;Wdhd1;Dnmt3b;Blm;Npm1;Ncl;Bub1b;Nasp;Ccnf;Nr6a1;Dna2;Smarcc1;Terf1;Hnrnpu;Gins1;E2f5;Set;Phf6;Ppat;Bend3;Mcm8;Hes3;Psip1;Mad2l1;Slc7a3;Hnrnpa1;Ttf2;Chaf1a;Zic3;Tert;Pfas;Nap1l1;Suv39h2;Cbx2;Zfx;Msh6;Rcc2;Cdc7;Gmps;Srsf1;Fubp1
3	prerank	Taste Receptor Cells	-0.7227140300049986	-2.855037489507618	0.0	0.0	0.0	56/92	14.13%	Rph3a;Syp;Slc4a10;Slc24a4;Actl6b;Hcn1;Atp1b2;Gria2;Fam135b;Wscd2;Cck;Cabp1;Ap3b2;Kcnj9;Gabra1;Pcsk2;Myt1l;Adcy2;St8sia5;Unc13c;Svop;Celf3;B3gat1;Cyp46a1;Scg3;Rundc3a;Amer3;Sez6;Chrnb2;Kcnb1;Tceal6;Dpp6;Pde1b;St18;Cacnb2;Sv2b;Cpne6;Slc7a14;Cadps;Atp2b2;Synpr;Vstm2a;Stmn4;Unc80;Tas1r3;Prox1;Nr3c1;Cntn2;Slc1a2;Cacng2;Srrm4;Slc24a2;Otud7a;Acsl6;Kcnj6;Kcnh2
4	prerank	GABAergic Neurons	-0.7085978054631692	-2.819504706908551	0.0	0.0	0.0	55/93	12.59%	Sphkap;Dusp26;Sncb;Actl6b;Igsf21;Grm5;Faim2;Cdk5r2;Cadm2;Gria2;Lgi3;Brinp1;Hpca;Camk2b;Mmd2;Ppfia2;Ntrk2;Ube2ql1;Scrt1;Plppr4;Gabrg2;Tmem59l;Sh3gl2;Snap91;Map6;Celf3;Atp2b3;Syn2;Cadm3;Ly6h;Abcc8;Asic2;Slitrk1;Tceal6;Slc32a1;Kcnc1;Vstm2b;Ptprt;Snap25;Ndrg4;Kctd16;Adgrb3;Gadd45b;Gad1;Synpr;Vstm2a;Stmn4;Sptbn4;Phyhipl;Gabbr2;Crhr1;Rgs7bp;Cntn2;Adgra1;Tmem179
5	prerank	Glycinergic Neurons	-0.7018549181486551	-2.8138600322068936	0.0	0.0	0.0	66/96	20.11%	Sncb;Fbll1;Actl6b;Grm5;Cspg5;Faim2;Cdk5r2;Ckb;Gria2;Brinp1;Hpca;Mmd2;Aplp1;Scrt1;Pnck;Tagln3;Dner;Abcg4;Srrm3;Tmem59l;Snap91;Map6;Celf3;Stxbp1;Ly6h;Gng3;Grin1;Ppfia3;Syn1;Tmem198;Asic2;Slitrk1;Slc32a1;Kcnc1;Cadm4;Vstm2b;Ngb;Mpp2;Ndrg4;Gad1;Tmem151a;Scamp5;Lingo1;Adgrb2;Crhr1;Cntn2;Adgra1;Rims4;Tmem179;Brsk1;Pianp;Caskin1;Slc6a9;Sptbn2;Ncdn;Bsn;Psd2;Pcdh8;Cnih2;Mapk8ip1;Clip3;Cacng7;Lrrc4b;Ina;Slc8a2;Ttbk1
6	prerank	Purkinje Neurons	-0.656168245393205	-2.76618949361397	0.0	0.0	0.0	79/140	16.58%	Pcp4;Pcp4l1;Rit2;Syp;Sncb;Actl6b;Igsf21;Grm5;Hcn1;Faim2;Zdhhc22;Slc12a5;Cadm2;Atp1b2;Gria2;Brinp1;Hpca;Mmd2;Kcnj9;Slc24a3;Prkca;Kcnma1;Syt4;Scrt1;Gabra1;Grid2;Cplx1;Gabrg2;Snap91;Celf3;Atp2b3;Pcbp3;Lrrtm1;Caly;Ly6h;Grin1;Clstn3;Rgs8;Syn1;Pde9a;Asic2;Slitrk1;Tceal6;Slc32a1;Gdap1l1;Kcnc1;Vstm2b;Rab3c;Pde1b;Snap25;Syt2;Adgrb3;Cadps;Gad1;Atp2b2;Synpr;Vstm2a;Stmn4;Dlg4;Nkain4;Grik3;Crhr1;Cerk;Adgrb1;Cntn2;Cacng2;Srrm4;Slc24a2;Adgra1;Tmem179;Nrxn2;Chrna4;Bsn;Psd2;Sez6l;Ctnna2;Pcdh8;Pde1a;Ptpn5
7	prerank	Retinal Ganglion Cells	-0.6231540218118208	-2.708578124153267	0.0	0.0	0.0	100/154	22.87%	Chrna6;Irx6;Dusp26;Sncb;Fbll1;Actl6b;Cdk5r2;Zdhhc22;Klhdc8a;Gria2;Isl1;Fxyd7;Brinp1;Hpca;Mmd2;Chrnb3;Prkca;Sncg;Syt4;Aplp1;Scrt1;Nacad;Lhfpl5;Dtx1;Tagln3;Dner;Smim18;Ablim3;Abcg4;Srrm3;Tmem59l;Sh3gl2;Snap91;Map6;Celf3;Plppr5;Mtus2;Atp2b3;Lrrtm1;Caly;Csdc2;Galnt14;Ly6h;Dpp10;Rgs8;Syn1;Asic2;Slitrk1;Gdap1l1;Kcnc1;Vstm2b;Syt16;Snap25;Ndrg4;Adgrb3;Stmn4;Ggt7;Ydjc;Lingo1;Nell1;Rtn2;Crhr1;Dctn1;Reep2;Cntn2;Adgra1;Tmem179;Brsk1;Pianp;Chrna4;Bsn;Brsk2;Ccdc184;Psd2;Pcdh8;Ptpn5;Stoml1;Atf6b;Fgf12;Them4;Cacng7;Pak5;Lrrc4b;Ina;Tceal5;Slc8a2;Slc29a4;Ttbk1;Narf;Iglon5;Fbxo44;Tox2;Galntl6;Crmp1;Kctd8;Mab21l2;Ttll1;Irx5;Cacnb3;Shd
8	prerank	Neurons	-0.5804113426076654	-2.6375101305281214	0.0	0.0	0.0	131/257	20.59%	Slc17a7;Pcp4;Rit2;Pnma8a;Syp;Dusp26;Sncb;Igf1;Actl6b;Grm5;Tmem130;Faim2;Cdk5r2;Zdhhc22;Slc12a5;Cadm2;Atp1b2;Gria2;Isl1;Nwd2;Brinp1;Pacsin1;Hpca;Mmd2;Disp2;Cck;Ppfia2;Kcnj9;Dnm3;Kcnma1;Syt4;Aqp1;Scrt1;Pnck;Gabra1;Chodl;Pcsk2;Eno2;Icam5;Tagln3;Cplx1;Dner;Gabrg2;Tmem59l;Sh3gl2;Snap91;Celf3;Atp2b3;Lrrtm1;Caly;Ly6h;Clstn3;Syn1;Slitrk1;Nrsn2;Tceal6;Celf6;Slc32a1;Ryr2;Gdap1l1;Kcnc1;Unc13a;Vstm2b;Rab3c;Snap25;Unc79;Ndrg4;Tceal3;Adgrb3;Cpne6;Cadps;Gad1;Atp6v0a1;Synpr;Arhgdig;Vstm2a;Ppp1r1b;Cnrip1;Ccdc28b;Stmn4;Dlg4;Phyhipl;Gabbr2;Ncald;Prox1;Gpr162;Magee1;Hap1;Rgs7bp;Cntn2;Cacng2;Srrm4;Calb2;Dipk1b;Hdac11;Vgf;Adgra1;Nefh;Tmem179;Cbarp;Bsn;Slc1a1;Syne1;Camk2n1;Tmem91;Psd2;Nicn1;Rora;Ctnna2;Pde1a;Ptpn5;Ndn;Sgip1;Abat;Slc6a17;Prmt2;Scn3b;Cdk5;Cacng7;Pak5;Ifit3;Dync1i1;Cdh22;Tceal5;Slc8a2;Nrxn1;Ttbk1;Pqbp1;Rhbdd2;Dtd1;Lhfpl4
9	prerank	Neuroendocrine Cells	-0.6464821853135468	-2.5959274953208347	0.0	0.0	0.0	50/106	13.30%	Sphkap;Rit2;Dusp26;Sncb;Actl6b;Grm5;Faim2;Cxcl14;Cadm2;Gria2;Fxyd7;Brinp1;Hpca;Mmd2;Cck;Ppfia2;Kcnj9;Syt4;Scrt1;Gabra1;Plppr4;Tagln3;Gabrg2;Sh3gl2;Snap91;Celf3;Atp2b3;Lrrtm1;Cadm3;Ly6h;Asic2;Slitrk1;Tceal6;Kcnc1;Vstm2b;Rab3c;Snap25;Adgrb3;Synpr;Arhgdig;Vstm2a;Ppp1r1b;Stmn4;Phyhipl;Negr1;Rgs7bp;Cntn2;Adgra1;Tmem179;Nfasc
10	prerank	Interneurons	-0.5624556260074594	-2.5684114086067376	0.0	0.0	0.0	103/258	12.83%	Slc17a7;Vsx2;Pcp4l1;Rit2;Lhx3;Adcy8;Syp;Hpcal4;Sncb;Actl6b;Igsf21;Grm5;Cdhr1;Dhrs3;Cdk5r2;Zdhhc22;Nxph4;Slc12a5;Cxcl14;Cadm2;Gria2;Isl1;Brinp1;Pacsin1;Lynx1;Hpca;Mmd2;Disp2;Cck;Ppfia2;Kcnj9;Cacna1i;Dnm3;Kcnma1;Syt4;Trim9;Syt1;Scrt1;Ptpro;Hlf;Pcsk2;Ntng1;Tmem132d;Tagln3;Cplx1;Reln;Gabrg2;Rorb;Tmem59l;Sh3gl2;Snap91;Celf3;Pde4a;Plppr5;Lypd1;Atp2b3;Gal;Pcbp3;Lrrtm1;Syt13;Ly6h;Rgs8;Syn1;Slitrk1;Nrsn2;Kcnip2;Tceal6;Gdap1l1;Kcnc1;Unc13a;Vstm2b;Rab3c;Snap25;Sema3e;Ndrg4;Sv2b;Tceal3;Adgrb3;Camk4;Gad1;Synpr;Vstm2a;Stmn4;Phyhipl;Gabbr2;Lingo1;Ncald;Crhr1;Dnajc6;Hspa12a;Magee1;Hap1;Rgs7bp;Cntn2;Nat14;Cacng2;Adcy1;Calb2;Vgf;Ramp3;Adgra1;Tmem179;Pianp
11	prerank	Glutaminergic Neurons	-0.6464644756199024	-2.545796688432948	0.0	0.0	0.0	54/91	20.11%	Slc17a7;Sphkap;Rit2;Diras2;Actl6b;Grm5;Tmem130;Gria2;Hpca;Mmd2;Ppfia2;Kcnj9;Atcay;Scrt1;Gabra1;Gabrg2;Snap91;Gria1;Celf3;Atp2b3;Grin1;Dlg2;Rgs8;Asic2;Slitrk1;Tceal6;Kcnc1;Unc13a;Snap25;Unc79;Ndrg4;Kctd16;Cadps;Synpr;Vstm2a;Stmn4;Grin2b;Phyhipl;Cntn2;Slc1a2;Srrm4;Adgra1;Bsn;Slc1a1;Magi2;Psd2;Ctnna2;Ptpn5;Scn3b;Pak5;Cdh22;Slc8a2;Nrxn1;Ttbk1
12	prerank	Pyramidal Cells	-0.6177799288226181	-2.5422637933898464	0.0	0.0	0.0	50/110	11.40%	Pcp4;Sphkap;Rit2;Adcy8;Sncb;Actl6b;Igsf21;Grm5;Faim2;Cadm2;Gria2;Brinp1;Hpca;Mmd2;Cck;Kcnj9;Syt4;Scrt1;Gabra1;Tagln3;Gabrg2;Kcnd2;Snap91;Gria1;Celf3;Atp2b3;Lrrtm1;Caly;Ly6h;Syn1;Asic2;Slitrk1;Kcnb1;Tceal6;Slc32a1;Kcnc1;Vstm2b;Rab3c;Ngb;Snap25;Adgrb3;Kcnb2;Synpr;Vstm2a;Stmn4;Dlg4;Grin2b;Sorcs3;Cntn2;Srrm4
13	prerank	Osteocytes	0.6314671681545193	2.540617324610724	0.0	0.0	0.0	57/91	22.15%	Sfrp1;Gja1;Gli3;Ednra;Tmem47;Nes;Fzd7;Ptpn14;Gfpt2;Has2;Mdk;Notch3;Gli2;Ptn;Fst;Adamts12;Flnc;Vegfc;Yap1;Adamts7;Ccdc8;Efnb2;Rai14;Ror1;Tcf7l1;Pls3;Fstl1;Pcdh18;Col1a1;Mdfi;Cald1;Efna5;Pxdn;P3h2;Axl;Chst3;Gpx8;Fbxl7;Csrp2;Rab13;Il17rd;Pdlim4;Fblim1;Stc1;Enah;Ppic;Gng12;Cdh11;Wwtr1;Pdpn;Gpr161;Cdr2l;Cttnbp2nl;Tpm1;Tenm3;Col4a6;Syde1
14	prerank	Dopaminergic Neurons	-0.6232317982149586	-2.529266585132857	0.0	0.0	0.0	49/106	14.19%	Chrna6;Syp;Sncb;Actl6b;Cdk5r2;Zdhhc22;Gria2;Mapt;Hpca;Syt4;Aplp1;Chga;Scrt1;Gabrg2;Tmem59l;Snap91;Celf3;Lrrtm1;Caly;Syt13;Ly6h;Abcc8;Slitrk1;Gdap1l1;Kcnc1;Unc13a;Snap25;Kcnb2;Myt1;Vstm2a;Stmn4;Phyhipl;Grik3;Lingo1;Crhr1;Chd5;Cntn2;Adcy1;Adgra1;Rims4;Tmem179;Caskin1;Mapk8ip2;Kcnj6;Lonrf2;Chrna4;Bsn;Brsk2;Hcn4
15	prerank	Enteroendocrine Cells	-0.6150466561378092	-2.5094678877993255	0.0	0.0	0.0	48/104	10.18%	Scgn;Syp;Dusp26;Actl6b;Glp2r;Cdk5r2;Cnga3;Gria2;Isl1;Hpca;Chgb;Cck;Cryba2;Syt4;Chga;Sct;Scrt1;Scg2;Pcsk2;Neurod1;Tagln3;Tmem59l;Sh3gl2;Snap91;Celf3;Scg3;Gal;Lrrtm1;Caly;Syt13;Ly6h;Abcc8;Unc5d;Asic2;Gdap1l1;Kcnc1;Unc13a;Rab3c;Ptprt;Snap25;Unc79;Gfra3;Scg5;Cadps;Kcnb2;Vstm2a;Phyhipl;Tas1r3
16	prerank	Beta Cells	-0.5984915233929825	-2.504665972863655	0.0	0.0	0.0	51/117	13.30%	Scgn;Pcp4;Gjd2;Cntn4;Syp;Dusp26;Actl6b;Igsf21;Cadm2;Gria2;Isl1;Wscd2;Camk2b;Chgb;Syt4;Ube2ql1;Chga;Pcsk2;Neurod1;Svop;Sh3gl2;Snap91;Map6;Celf3;Cntn1;Scg3;Hamp;Lrrtm1;Syt13;Ly6h;Amer3;Abcc8;Unc5d;Rapgef4;Kcnc1;Dpp6;Rab3c;Ptprt;Snap25;Unc79;Rgs16;Adgrb3;Cadps;Kcnb2;Vstm2a;Phyhipl;Prox1;Adgra1;Tmem179;Nptx2;Nfasc
17	prerank	Olfactory Epithelial Cells	-0.5451940366190748	-2.403990824688779	0.0	0.0	0.0	101/193	22.76%	Cntn4;Rd3;Ano2;Fstl5;Cspg5;Gng13;Cdk5r2;Ckb;Nxnl2;Hpca;Ccdc113;Golga7b;Sybu;Aplp1;Abhd3;Kcna5;Meig1;Sez6l2;Impdh1;Dner;Srrm3;Tmem59l;Dusp8;Map6;Stxbp1;Pcdhac2;Pde4a;Mapre3;Atp9a;Lrrc73;Nrsn2;Vstm2l;Clstn2;Cadm4;Nme5;Mpp2;Ndrg4;Riiad1;Cibar2;Larp6;Dnai1;Scamp5;Cbx4;Ccdc28b;Jakmip1;Stom;Sptbn4;Cdkl2;Lingo1;Adgrb2;Pacrg;Kif9;Hspa12a;Pkib;Macrod1;Nat14;Calb2;Clstn1;Tsnaxip1;Acsl6;Tmem9;Ormdl3;Wdr54;Caskin1;Abhd16a;Mapk8ip2;Sptbn2;Ccdc184;Cartpt;Spock1;Ttc21a;Ift22;B4gat1;Fam229b;Elmod3;Dusp14;C2cd4c;Them6;Mapk8ip1;Kcnc4;H2bc21;Vps37d;Fgf12;Lrrc10b;Slc4a3;Epb41l4b;Kifbp;Sh3glb2;Flrt1;Spef1;Endod1;Meis3;Tmem107;Ttll3;Ric8b;Ppp1r14c;Cpe;Siah2;Ngrn;Epb41l1;Cacnb3
18	prerank	Enteric Neurons	-0.5634894145607509	-2.3954440761913407	0.0	0.0	0.0	58/147	13.59%	Dusp26;Actl6b;Fstl5;Faim2;Cdk5r2;Cadm2;Gria2;Brinp1;Cck;Ppfia2;Ntrk2;Tmem35a;Golga7b;Syt4;Scrt1;Nacad;Scg2;Plppr4;Slc10a4;Tagln3;Tmem59l;Snap91;Map6;Celf3;Stxbp1;Cntn1;Atp2b3;Hivep3;Gal;Lrrtm1;Casz1;Cadm3;Ly6h;Tlx2;Asic2;Vstm2l;Celf6;Gdap1l1;Kcnc1;Snap25;Ndrg4;Kctd16;Adgrb3;Slc7a14;Chrna3;Vstm2a;Stmn4;Snx21;Phyhipl;Rgs7bp;Cntn2;Tub;Ppp2r5b;Adgra1;Tmem179;Akap6;Nfasc;Shc3
19	prerank	Embryonic Stem Cells	0.5564750583364912	2.3928684502568243	0.0	0.0	0.0	100/147	29.16%	Hmga2;Sfrp1;Sall4;Gja1;Zscan10;Sox2;Trim6;Lef1;Nes;Ajuba;Fzd7;Tead2;Ptpn14;Dsp;Ephb4;Gli2;Rbpms;Prtg;Lrig3;Rbfox2;Erbb2;Itga6;Tead1;Yap1;Fnbp1l;Fbln1;Tead4;Rai14;Ror1;Hes1;Dnmt3b;Pls3;Fat1;Fstl1;Mdfi;Pawr;Kit;Myo1b;Uaca;Nr6a1;Yes1;Itgb1;Fzd1;Lamb1;Gjc1;Dsg2;Myc;Gpx8;Fkbp10;Tjp1;Arhgap42;Cd9;Sh3d19;Lrp6;Fzd5;Dcbld2;Kcnip3;Il17rd;Fblim1;Nav2;Fras1;Enah;Zfx;Gng12;Gulp1;Prdm5;Smarca1;Sh3bp4;Nckap1;Pum2;Fut4;Ptprg;Ptprf;Col4a5;Pard3;Shroom3;Tspan6;Tenm3;Col4a6;Rnd3;Dock1;Smad5;Ptk7;Adgra3;Adgrl2;Antxr1;Fermt2;Sumo2;Ctnna1;Wwc2;Ptk2;Amotl2;Lamc1;Myo10;Pml;Cdk8;Serpinh1;Smad1;Smad4;Ctnnd1
20	prerank	Gamma Delta T Cells	0.7366880652787876	2.3593658335516827	0.0	0.0	0.0	14/28	5.84%	Mki67;Cenpf;Aspm;Aurkb;Top2a;Ifitm1;Ccnb1;Nusap1;Ube2c;Birc5;Troap;Hmgb2;Cenpa;Ubash3a
21	prerank	Trigeminal Neurons	-0.5607580862369289	-2.344050246163078	0.0	0.0	0.0	49/127	13.30%	Sphkap;Adcy8;Dusp26;Actl6b;Grm5;Faim2;Cadm2;Gria2;Brinp1;Mmd2;Ppfia2;Sncg;Tmem35a;Syt4;Nacad;Add2;Plppr4;Tagln3;Kcnab2;Sh3gl2;Snap91;Map6;Stxbp1;Atp2b3;Lrrtm1;Cadm3;Ly6h;Dlg2;Asic2;Slitrk1;Tceal6;Gdap1l1;Kcnc1;Rab3c;Snap25;Ndrg4;Kctd16;Adgrb3;Synpr;Vstm2a;Stmn4;Phyhipl;Gdap1;Rgs7bp;Cntn2;Adgra1;Nefh;Tmem179;Nfasc
22	prerank	Adrenergic Neurons	-0.577218667885414	-2.3090526401456093	0.0	0.0	0.0	47/94	16.58%	Scgn;Faah;Fbll1;Actl6b;Iqsec3;Reep6;Dbh;Syt4;Chga;Xkr7;Syt1;Sardh;Cplx1;Dusp8;Celf3;Cacna1h;Lrrtm1;Caly;Hcn3;Syt13;Abcc8;Lrrc75b;Rap1gap;Pde9a;Gck;Col26a1;Scamp5;Cdhr2;Rnf208;Phyhipl;Lingo1;Gadd45g;Slc22a17;Tmem74b;Tmem179;Pcsk1n;Klc4;Sema4g;Hid1;Chrna4;Kcnh2;Enho;Ogdhl;Adcy5;C2cd4c;Plekha6;Dact2
23	prerank	Cardiac Stem And Precursor Cells	0.5472350900955729	2.2286160279044958	0.0	0.0	0.0	65/100	27.57%	Ednra;Nes;Fzd7;Gli2;Lrig3;Fign;Rbfox2;Flnc;Tead1;Yap1;Nr2f2;Ttc23;Tead4;Rai14;Pls3;Bmp4;Fat1;Fstl1;Prrg1;Kit;Ccnd1;Myo1b;Lamb2;Uaca;Plod2;Lamb1;Scara3;Kif7;Chst3;Gpx8;Fkbp10;Tjp1;Tspan12;Aadat;Sh3d19;Fkbp9;Enah;Ppic;Rhbdf1;Gng12;Nuak1;Mpdz;Smarca1;Nckap1;Wwtr1;Fut4;Ptprg;Ptprf;Cdr2l;Tspan6;Tenm3;Smad6;Syde1;Rnd3;Dock1;Tbx3;Adamts15;Frmd6;Adgrl2;Antxr1;Wnt5a;Fermt2;Amotl2;Lamc1;Pkdcc
24	prerank	Oligodendrocyte Progenitor Cells	-0.5466289939040013	-2.2111936084159787	0.0	0.0	0.0	49/108	15.77%	Adcy8;Sncb;Igsf21;Cspg5;Faim2;Atp1b2;Gria2;Lgi3;Brinp1;Hpca;Mmd2;Kcnj9;Aplp1;Scrt1;Nacad;Plppr4;Tagln3;Tmem59l;Snap91;Lhfpl3;Lad1;Lrrtm1;Cadm3;Ly6h;Pcdh15;Tceal6;Vstm2b;Snap25;Ndrg4;Adgrb3;Atp2b2;Ntm;Slco1c1;Stmn4;Aldoc;Phyhipl;Lingo1;Gpr62;Cntn2;Coro2b;Adgra1;Tmem179;Nfasc;Shc3;Nrxn2;Chrna4;Etv5;Psd2;Adcy5
25	prerank	Retinal Progenitor Cells	-0.5340526111220504	-2.187385210597818	0.0	0.0	0.0	42/109	14.07%	Rbp3;Sag;Rho;Vsx2;Sncb;Cspg5;Cdk5r2;Zdhhc22;Cadm2;Atp1b2;Gria2;Hpca;Mmd2;Aplp1;Scrt1;Tagln3;Abcg4;Srrm3;Tmem59l;Snap91;Map6;Celf3;Unc5d;Rgs8;Kcnc1;Unc13a;Rhbdl3;Ndrg4;Phyhipl;Grik3;Lingo1;Crhr1;Reep2;Calb2;Nefh;Rims4;Tmem179;Tmem200c;Caskin1;Mapk8ip2;Cacng5;Brsk2
